,datetime,time,team2,team1_code,team2_code,round,score1,score2,adj_score1,adj_score2,xG_Shot_Home,xG_Shot_Away,xG_Non-Shot_Home,xG_Non-Shot_Away,group,matchday
58,11/2/2016,15:45:00+00:00,Lyon,JUV,LYON,g,1,1,1.05,1.05,1.599,1.124,0.903,1.152,H,4
59,11/2/2016,15:45:00+00:00,Real Madrid,WAR,MAD,g,3,3,3.15,3.15,0.526,2.527,0.957,3.587,F,4
60,11/2/2016,15:45:00+00:00,Sporting CP,DOR,SCP,g,1,0,1.05,0,1.137,1.328,1.401,0.906,F,4
61,11/2/2016,15:45:00+00:00,Club Brugge,POR,CBKV,g,1,0,1.05,0,0.957,0.419,1.275,1.161,G,4
62,11/2/2016,15:45:00+00:00,CSKA Moscow,MON,CSKA,g,3,0,3.15,0,3.179,0.42,2.628,0.744,E,4
63,11/2/2016,15:45:00+00:00,Dinamo Zagreb,SEV,DIN,g,4,0,3.514,0,2.784,0.089,3.399,0.168,H,4
64,11/22/2016,12:00:00+00:00,Bayer Leverkusen,CSKA,LEV,g,1,1,1.05,1.05,1.757,1.266,1.973,1.728,E,5
65,11/22/2016,14:45:00+00:00,Lyon,DIN,LYON,g,0,1,0,1.05,0.335,2.034,0.54,1.271,H,5
66,11/22/2016,14:45:00+00:00,FC Porto,COP,POR,g,0,0,0,0,0.46,1.861,1.102,1.412,G,5
67,11/22/2016,14:45:00+00:00,Club Brugge,LEI,CBKV,g,2,1,2.1,1.05,2.086,0.266,1.211,1.451,G,5
68,11/22/2016,14:45:00+00:00,Legia Warsaw,DOR,WAR,g,8,4,7.599,4.2,4.788,1.74,3.153,1.309,F,5
69,11/22/2016,14:45:00+00:00,Real Madrid,SCP,MAD,g,1,2,1.05,2.1,1.203,0.858,1.007,1.269,F,5
70,11/22/2016,14:45:00+00:00,Tottenham Hotspur,MON,TOT,g,2,1,2.1,1.05,2.946,1.048,1.482,0.824,E,5
71,11/22/2016,14:45:00+00:00,Juventus,SEV,JUV,g,1,3,1.05,2.625,0.227,1.176,0.984,1.199,H,5
72,11/23/2016,12:00:00+00:00,Bayern Munich,ROS,BMU,g,3,2,3.15,2.1,1.519,1.367,0.758,2.362,D,5
73,11/23/2016,12:45:00+00:00,Benfica,BES,BEN,g,3,3,3.15,3.15,1.857,2.613,0.782,0.956,B,5
74,11/23/2016,14:45:00+00:00,Paris Saint-Germain,ARS,PSG,g,2,2,2.1,2.1,0.96,1.699,1.23,1.294,A,5
75,11/23/2016,14:45:00+00:00,Barcelona,CEL,BAR,g,0,2,0,2.1,0.725,3.243,1.056,3.337,C,5
76,11/23/2016,14:45:00+00:00,Dynamo Kiev,NAP,KIEV,g,0,0,0,0,0.747,0.178,1.27,0.031,B,5
77,11/23/2016,14:45:00+00:00,PSV,ATL,PSV,g,2,0,2.1,0,1.097,0.125,1.335,0.187,D,5
78,11/23/2016,14:45:00+00:00,Manchester City,MGB,MNC,g,1,1,1.05,1.05,0.635,1.284,0.391,1.942,C,5
79,11/23/2016,14:45:00+00:00,Basel,LUD,BAS,g,0,0,0,0,0.139,0.527,0.432,1.028,A,5
80,12/6/2016,14:45:00+00:00,Celtic,MNC,CEL,g,1,1,1.05,1.05,0.701,1.604,1.188,0.813,C,6
81,12/6/2016,14:45:00+00:00,Borussia Monchengladbach,BAR,MGB,g,4,0,4.2,0,2.878,0.027,3.171,0.626,C,6
82,12/6/2016,14:45:00+00:00,Atletico Madrid,BMU,ATL,g,1,0,1.05,0,1.25,0.274,1.722,0.842,D,6
83,12/6/2016,14:45:00+00:00,Besiktas,KIEV,BES,g,6,0,6.125,0,3.496,0.284,1.259,0.641,B,6
84,12/6/2016,14:45:00+00:00,Napoli,BEN,NAP,g,1,2,1.05,1.884,1.576,1.832,1.403,1.474,B,6
85,12/6/2016,14:45:00+00:00,Ludogorets,PSG,LUD,g,2,2,2.1,2.1,2.379,1.024,2.15,0.579,A,6
86,12/6/2016,14:45:00+00:00,Arsenal,BAS,ARS,g,1,4,1.05,4.2,1.346,2.12,1.811,1.404,A,6
87,12/6/2016,14:45:00+00:00,Rostov,PSV,ROS,g,0,0,0,0,1.016,0.464,2.454,0.743,D,6
88,12/7/2016,14:45:00+00:00,FC Copenhagen,CBKV,COP,g,0,2,0,2.1,0.31,0.804,1.338,1.477,G,6
89,12/7/2016,14:45:00+00:00,CSKA Moscow,TOT,CSKA,g,3,1,2.97,1.05,3.249,0.855,2.921,0.652,E,6
90,12/7/2016,14:45:00+00:00,Dinamo Zagreb,JUV,DIN,g,2,0,2.036,0,1.375,0.099,2.017,0.33,H,6
91,12/7/2016,14:45:00+00:00,Sporting CP,WAR,SCP,g,1,0,1.05,0,1.749,1.564,0.92,2.16,F,6
92,12/7/2016,14:45:00+00:00,Borussia Dortmund,MAD,DOR,g,2,2,2.1,2.1,3.606,2.052,1.784,1.452,F,6
93,12/7/2016,14:45:00+00:00,AS Monaco,LEV,MON,g,3,0,2.859,0,2.022,0.695,0.989,1.581,E,6
94,12/7/2016,14:45:00+00:00,Leicester City,POR,LEI,g,5,0,5.082,0,2.566,0.332,1.613,0.56,G,6
95,12/7/2016,14:45:00+00:00,Sevilla FC,LYON,SEV,g,0,0,0,0,1.448,0.246,2.073,0.217,H,6
96,2/14/2017,14:45:00+00:00,Borussia Dortmund,BEN,DOR,k,1,0,1.05,0,0.655,2.755,0.392,1.842,,
97,2/14/2017,14:45:00+00:00,Barcelona,PSG,BAR,k,4,0,4.175,0,1.451,0.991,1.766,1.266,,
98,2/15/2017,14:45:00+00:00,Napoli,MAD,NAP,k,3,1,3.15,1.05,1.643,0.845,2.936,0.849,,
99,2/15/2017,14:45:00+00:00,Arsenal,BMU,ARS,k,5,1,4.786,1.05,2.656,1.197,2.467,0.976,,
100,2/21/2017,14:45:00+00:00,AS Monaco,MNC,MON,k,5,3,4.941,3.15,2.757,2.819,2.119,1.056,,
101,2/21/2017,14:45:00+00:00,Atletico Madrid,LEV,ATL,k,2,4,2.1,3.787,0.856,2.808,1.352,1.574,,
102,2/22/2017,14:45:00+00:00,Juventus,POR,JUV,k,0,2,0,2.006,0.138,1.28,0.332,2.575,,
103,2/22/2017,14:45:00+00:00,Leicester City,SEV,LEI,k,2,1,2.1,1.05,2.457,0.665,1.925,0.589,,
104,3/7/2017,14:45:00+00:00,Bayern Munich,ARS,BMU,k,1,5,1.05,4.445,0.645,3.65,1.349,1.726,,
105,3/7/2017,14:45:00+00:00,Real Madrid,NAP,MAD,k,1,3,1.05,2.625,0.917,1.989,0.809,2.021,,
106,3/8/2017,14:45:00+00:00,Paris Saint-Germain,BAR,PSG,k,6,1,4.793,1.05,3.104,1.52,2.211,0.495,,
107,3/8/2017,14:45:00+00:00,Benfica,DOR,BEN,k,4,0,3.815,0,2.275,0.425,1.785,0.516,,
108,3/14/2017,15:45:00+00:00,Sevilla FC,LEI,SEV,k,2,0,2.1,0,1.531,1.329,1.086,1.923,,
109,3/14/2017,15:45:00+00:00,FC Porto,JUV,POR,k,1,0,1.05,0,2.411,0.513,3.387,0.332,,
110,3/15/2017,15:45:00+00:00,Bayer Leverkusen,ATL,LEV,k,0,0,0,0,0.882,1.997,1.27,1.812,,
111,3/15/2017,15:45:00+00:00,Manchester City,MON,MNC,k,3,1,2.981,1.05,1.672,1.32,0.833,0.959,,
112,4/11/2017,14:45:00+00:00,Barcelona,JUV,BAR,q,3,0,3.15,0,0.934,1.418,1.188,2.503,,
113,4/12/2017,12:45:00+00:00,AS Monaco,DOR,MON,q,2,3,2.1,2.927,2.192,2.032,2.189,0.83,,
114,4/12/2017,14:45:00+00:00,Leicester City,ATL,LEI,q,1,0,1.05,0,1.229,0.196,1.956,0.355,,
115,4/12/2017,14:45:00+00:00,Real Madrid,BMU,MAD,q,1,2,1.05,2.1,1.521,2.117,1.892,3.692,,
116,4/18/2017,14:45:00+00:00,Atletico Madrid,LEI,ATL,q,1,1,1.05,1.05,1.822,0.154,1.513,0.715,,
117,4/18/2017,14:45:00+00:00,Bayern Munich,MAD,BMU,q,4,2,3.675,2.1,3.052,2.931,2.981,2.455,,
118,4/19/2017,14:45:00+00:00,Juventus,BAR,JUV,q,0,0,0,0,1.599,0.82,4.66,0.838,,
119,4/19/2017,14:45:00+00:00,Borussia Dortmund,MON,DOR,q,3,1,2.864,1.05,2.496,1.349,1.787,1.509,,
120,5/2/2017,14:45:00+00:00,Atletico Madrid,MAD,ATL,s,3,0,2.682,0,2.661,0.195,1.637,0.53,,
121,5/3/2017,14:45:00+00:00,Juventus,MON,JUV,s,0,2,0,2.1,1.958,1.098,1.313,1.449,,
122,5/9/2017,14:45:00+00:00,AS Monaco,JUV,MON,s,2,1,2.1,1.05,2.095,0.991,1.975,0.861,,
123,5/10/2017,14:45:00+00:00,Real Madrid,ATL,MAD,s,2,1,2.1,1.05,1.717,2.073,1.174,2.139,,
124,6/3/2017,14:45:00+00:00,Real Madrid,JUV,MAD,f,1,4,1.05,3.679,0.432,2.08,1.193,1.866,,
125,9/12/2017,18:45:00+00:00,FK Qarabag,CHE,QBG,g,6,0,6,0,6,0,6,0,C,1
126,9/12/2017,18:45:00+00:00,Basel,MAN,BAS,g,3,0,2.798,0,3.187,0.532,2.166,0.54,A,1
127,9/12/2017,18:45:00+00:00,Paris Saint-Germain,CEL,PSG,g,0,5,0,4.549,0.267,2.407,0.492,2.14,B,1
128,9/12/2017,18:45:00+00:00,Atletico Madrid,ROM,ATL,g,0,0,0,0,0.473,2.495,1.119,2.017,C,1
129,9/12/2017,18:45:00+00:00,Juventus,BAR,JUV,g,3,0,3.15,0,1.241,0.702,1.104,1.142,D,1
130,9/12/2017,18:45:00+00:00,Anderlecht,BMU,RSCA,g,3,0,2.105,0,4.052,0.861,3.623,0.601,B,1
